
--- API Version: v1beta ---
ID: gemini-2.5-flash (Full: models/gemini-2.5-flash)
ID: gemini-2.5-pro (Full: models/gemini-2.5-pro)
ID: gemini-2.0-flash (Full: models/gemini-2.0-flash)
ID: gemini-2.0-flash-001 (Full: models/gemini-2.0-flash-001)
ID: gemini-2.0-flash-exp-image-generation (Full: models/gemini-2.0-flash-exp-image-generation)
ID: gemini-2.0-flash-lite-001 (Full: models/gemini-2.0-flash-lite-001)
ID: gemini-2.0-flash-lite (Full: models/gemini-2.0-flash-lite)
ID: gemini-exp-1206 (Full: models/gemini-exp-1206)
ID: gemini-2.5-flash-preview-tts (Full: models/gemini-2.5-flash-preview-tts)
ID: gemini-2.5-pro-preview-tts (Full: models/gemini-2.5-pro-preview-tts)
ID: gemma-3-1b-it (Full: models/gemma-3-1b-it)
ID: gemma-3-4b-it (Full: models/gemma-3-4b-it)
ID: gemma-3-12b-it (Full: models/gemma-3-12b-it)
ID: gemma-3-27b-it (Full: models/gemma-3-27b-it)
ID: gemma-3n-e4b-it (Full: models/gemma-3n-e4b-it)
ID: gemma-3n-e2b-it (Full: models/gemma-3n-e2b-it)
ID: gemini-flash-latest (Full: models/gemini-flash-latest)
ID: gemini-flash-lite-latest (Full: models/gemini-flash-lite-latest)
ID: gemini-pro-latest (Full: models/gemini-pro-latest)
ID: gemini-2.5-flash-lite (Full: models/gemini-2.5-flash-lite)
ID: gemini-2.5-flash-image (Full: models/gemini-2.5-flash-image)
ID: gemini-2.5-flash-preview-09-2025 (Full: models/gemini-2.5-flash-preview-09-2025)
ID: gemini-2.5-flash-lite-preview-09-2025 (Full: models/gemini-2.5-flash-lite-preview-09-2025)
ID: gemini-3-pro-preview (Full: models/gemini-3-pro-preview)
ID: gemini-3-flash-preview (Full: models/gemini-3-flash-preview)
ID: gemini-3-pro-image-preview (Full: models/gemini-3-pro-image-preview)
ID: nano-banana-pro-preview (Full: models/nano-banana-pro-preview)
ID: gemini-robotics-er-1.5-preview (Full: models/gemini-robotics-er-1.5-preview)
ID: gemini-2.5-computer-use-preview-10-2025 (Full: models/gemini-2.5-computer-use-preview-10-2025)
ID: deep-research-pro-preview-12-2025 (Full: models/deep-research-pro-preview-12-2025)

--- API Version: v1 ---
ID: gemini-2.5-flash (Full: models/gemini-2.5-flash)
ID: gemini-2.5-pro (Full: models/gemini-2.5-pro)
ID: gemini-2.0-flash (Full: models/gemini-2.0-flash)
ID: gemini-2.0-flash-001 (Full: models/gemini-2.0-flash-001)
ID: gemini-2.0-flash-lite-001 (Full: models/gemini-2.0-flash-lite-001)
ID: gemini-2.0-flash-lite (Full: models/gemini-2.0-flash-lite)
ID: gemini-2.5-flash-lite (Full: models/gemini-2.5-flash-lite)
